#TMeV s1 s3 q1 q3
186.50 3.8153e-01 4.9255e-03 -4.8574e-02 1.2811e-03
187.00 3.8317e-01 4.8318e-03 -4.8856e-02 1.3346e-03
187.50 3.8478e-01 4.7390e-03 -4.9136e-02 1.3883e-03
188.00 3.8638e-01 4.6471e-03 -4.9414e-02 1.4421e-03
188.50 3.8797e-01 4.5561e-03 -4.9690e-02 1.4959e-03
189.00 3.8954e-01 4.4660e-03 -4.9964e-02 1.5498e-03
189.50 3.9110e-01 4.3769e-03 -5.0236e-02 1.6037e-03
190.00 3.9264e-01 4.2886e-03 -5.0506e-02 1.6577e-03
190.50 3.9416e-01 4.2013e-03 -5.0773e-02 1.7116e-03
191.00 3.9567e-01 4.1149e-03 -5.1039e-02 1.7656e-03
191.50 3.9717e-01 4.0294e-03 -5.1302e-02 1.8196e-03
192.00 3.9864e-01 3.9449e-03 -5.1564e-02 1.8737e-03
192.50 4.0011e-01 3.8612e-03 -5.1823e-02 1.9276e-03
193.00 4.0156e-01 3.7785e-03 -5.2080e-02 1.9816e-03
193.50 4.0300e-01 3.6966e-03 -5.2335e-02 2.0355e-03
194.00 4.0442e-01 3.6157e-03 -5.2588e-02 2.0894e-03
194.50 4.0582e-01 3.5357e-03 -5.2839e-02 2.1433e-03
195.00 4.0722e-01 3.4566e-03 -5.3088e-02 2.1971e-03
195.50 4.0859e-01 3.3784e-03 -5.3334e-02 2.2508e-03
196.00 4.0996e-01 3.3011e-03 -5.3579e-02 2.3044e-03
196.50 4.1131e-01 3.2246e-03 -5.3822e-02 2.3580e-03
197.00 4.1264e-01 3.1491e-03 -5.4062e-02 2.4114e-03
197.50 4.1397e-01 3.0744e-03 -5.4301e-02 2.4648e-03
198.00 4.1527e-01 3.0006e-03 -5.4537e-02 2.5181e-03
198.50 4.1657e-01 2.9277e-03 -5.4772e-02 2.5712e-03
199.00 4.1785e-01 2.8556e-03 -5.5004e-02 2.6243e-03
199.50 4.1912e-01 2.7844e-03 -5.5235e-02 2.6772e-03
200.00 4.2037e-01 2.7141e-03 -5.5463e-02 2.7300e-03
